#: table_doi: 10.17182/hepdata.96561.v2/t3
#: name: Figure 11
#: description: $\pi^0$ nuclear modification factors
#: data_file: fig11.yaml
#: keyword reactions: AU AU --> NEUTRAL X
#: keyword cmenergies: 200.0
#: $p_T$,,,$0-10\%$ centrality
$p_T$,$p_T$ LOW,$p_T$ HIGH,$R_{AA}$,$p_{T}$ Uncorr +,$p_{T}$ Uncorr -,$p_{T}$ Corr +,$p_{T}$ Corr -,Global +,Global -
5.25,5,5.5,0.18594,0.0013671,-0.0013671,0.023779,-0.023779,0.022616,-0.022616
5.75,5.5,6,0.18552,0.0017548,-0.0017548,0.023779,-0.023779,0.022564,-0.022564
6.25,6,6.5,0.18822,0.0022771,-0.0022771,0.024178,-0.024178,0.022893,-0.022893
6.75,6.5,7,0.19223,0.0029342,-0.0029342,0.024751,-0.024751,0.023381,-0.023381
7.25,7,7.5,0.19077,0.0036067,-0.0036067,0.024628,-0.024628,0.023203,-0.023203
7.75,7.5,8,0.19671,0.0045438,-0.0045438,0.02547,-0.02547,0.023925,-0.023925
8.25,8,8.5,0.19897,0.0056201,-0.0056201,0.024184,-0.024184,0.0242,-0.0242
8.75,8.5,9,0.197,0.0066363,-0.0066363,0.024053,-0.024053,0.023961,-0.023961
9.25,9,9.5,0.22411,0.0088675,-0.0088675,0.027549,-0.027549,0.027258,-0.027258
9.75,9.5,10,0.22495,0.010915,-0.010915,0.028444,-0.028444,0.027361,-0.027361
11.0,10,12,0.22526,0.0076901,-0.0076901,0.033706,-0.033706,0.027398,-0.027398
13.0,12,14,0.24026,0.015137,-0.015137,0.05017,-0.05017,0.029222,-0.029222
15.0,14,16,0.32436,0.036734,-0.036734,0.090579,-0.090579,0.039451,-0.039451
17.0,16,18,0.3763,0.072167,-0.072167,0.13431,-0.13431,0.045769,-0.045769
19.0,18,20,0.26386,0.099973,-0.099973,0.11517,-0.11517,0.032093,-0.032093

#: $p_T$,,,$10-20\%$ centrality
$p_T$,$p_T$ LOW,$p_T$ HIGH,$R_{AA}$,$p_{T}$ Uncorr +,$p_{T}$ Uncorr -,$p_{T}$ Corr +,$p_{T}$ Corr -,Global +,Global -
5.25,5,5.5,0.26303,0.0018098,-0.0018098,0.033637,-0.033637,0.031671,-0.031671
5.75,5.5,6,0.25814,0.0023387,-0.0023387,0.033088,-0.033088,0.031082,-0.031082
6.25,6,6.5,0.25446,0.0030254,-0.0030254,0.032687,-0.032687,0.030639,-0.030639
6.75,6.5,7,0.26251,0.0039579,-0.0039579,0.0338,-0.0338,0.031609,-0.031609
7.25,7,7.5,0.26427,0.0049517,-0.0049517,0.034117,-0.034117,0.03182,-0.03182
7.75,7.5,8,0.2646,0.0061485,-0.0061485,0.034261,-0.034261,0.03186,-0.03186
8.25,8,8.5,0.27572,0.0078097,-0.0078097,0.033513,-0.033513,0.033199,-0.033199
8.75,8.5,9,0.26913,0.0090856,-0.0090856,0.032859,-0.032859,0.032406,-0.032406
9.25,9,9.5,0.28791,0.011763,-0.011763,0.035392,-0.035392,0.034667,-0.034667
9.75,9.5,10,0.30434,0.015093,-0.015093,0.038481,-0.038481,0.036645,-0.036645
11.0,10,12,0.29496,0.010383,-0.010383,0.044135,-0.044135,0.035516,-0.035516
13.0,12,14,0.30381,0.020055,-0.020055,0.063441,-0.063441,0.036581,-0.036581
15.0,14,16,0.38696,0.046316,-0.046316,0.10806,-0.10806,0.046594,-0.046594
17.0,16,18,0.4,0.089403,-0.089403,0.14276,-0.14276,0.048163,-0.048163
19.0,18,20,0.32404,0.13303,-0.13303,0.14144,-0.14144,0.039017,-0.039017

#: $p_T$,,,$20-30\%$ centrality
$p_T$,$p_T$ LOW,$p_T$ HIGH,$R_{AA}$,$p_{T}$ Uncorr +,$p_{T}$ Uncorr -,$p_{T}$ Corr +,$p_{T}$ Corr -,Global +,Global -
5.25,5,5.5,0.35279,0.0024238,-0.0024238,0.045116,-0.045116,0.043422,-0.043422
5.75,5.5,6,0.33766,0.0031151,-0.0031151,0.04328,-0.04328,0.041559,-0.041559
6.25,6,6.5,0.34115,0.0041083,-0.0041083,0.043824,-0.043824,0.04199,-0.04199
6.75,6.5,7,0.3382,0.0052932,-0.0052932,0.043545,-0.043545,0.041626,-0.041626
7.25,7,7.5,0.33471,0.006542,-0.006542,0.043212,-0.043212,0.041197,-0.041197
7.75,7.5,8,0.34436,0.0083213,-0.0083213,0.044589,-0.044589,0.042384,-0.042384
8.25,8,8.5,0.3511,0.010412,-0.010412,0.042675,-0.042675,0.043214,-0.043214
8.75,8.5,9,0.32676,0.011915,-0.011915,0.039895,-0.039895,0.040218,-0.040218
9.25,9,9.5,0.3425,0.015157,-0.015157,0.042103,-0.042103,0.042156,-0.042156
9.75,9.5,10,0.40062,0.020558,-0.020558,0.050655,-0.050655,0.049308,-0.049308
11.0,10,12,0.37795,0.014135,-0.014135,0.056553,-0.056553,0.046519,-0.046519
13.0,12,14,0.40848,0.028125,-0.028125,0.085299,-0.085299,0.050276,-0.050276
15.0,14,16,0.52161,0.065192,-0.065192,0.14566,-0.14566,0.0642,-0.0642
17.0,16,18,0.37127,0.094778,-0.094778,0.13251,-0.13251,0.045696,-0.045696
19.0,18,20,0.45502,0.19645,-0.19645,0.19861,-0.19861,0.056004,-0.056004

#: $p_T$,,,$30-40\%$ centrality
$p_T$,$p_T$ LOW,$p_T$ HIGH,$R_{AA}$,$p_{T}$ Uncorr +,$p_{T}$ Uncorr -,$p_{T}$ Corr +,$p_{T}$ Corr -,Global +,Global -
5.25,5,5.5,0.44084,0.0031664,-0.0031664,0.056375,-0.056375,0.057412,-0.057412
5.75,5.5,6,0.42344,0.0041374,-0.0041374,0.054276,-0.054276,0.055146,-0.055146
6.25,6,6.5,0.43944,0.0055768,-0.0055768,0.05645,-0.05645,0.05723,-0.05723
6.75,6.5,7,0.43407,0.0072185,-0.0072185,0.055889,-0.055889,0.05653,-0.05653
7.25,7,7.5,0.41864,0.0088532,-0.0088532,0.054047,-0.054047,0.054521,-0.054521
7.75,7.5,8,0.43982,0.01135,-0.01135,0.05695,-0.05695,0.05728,-0.05728
8.25,8,8.5,0.43974,0.014103,-0.014103,0.053449,-0.053449,0.057269,-0.057269
8.75,8.5,9,0.4313,0.016747,-0.016747,0.052658,-0.052658,0.056169,-0.056169
9.25,9,9.5,0.41934,0.020429,-0.020429,0.051548,-0.051548,0.054612,-0.054612
9.75,9.5,10,0.42906,0.02532,-0.02532,0.054252,-0.054252,0.055878,-0.055878
11.0,10,12,0.45256,0.018683,-0.018683,0.067716,-0.067716,0.058938,-0.058938
13.0,12,14,0.47623,0.036342,-0.036342,0.099448,-0.099448,0.062022,-0.062022
15.0,14,16,0.5969,0.092052,-0.092052,0.16669,-0.16669,0.077736,-0.077736
17.0,16,18,0.50019,0.13823,-0.13823,0.17852,-0.17852,0.065141,-0.065141
19.0,18,20,0.54226,0.26761,-0.26761,0.23669,-0.23669,0.07062,-0.07062

#: $p_T$,,,$40-50\%$ centrality
$p_T$,$p_T$ LOW,$p_T$ HIGH,$R_{AA}$,$p_{T}$ Uncorr +,$p_{T}$ Uncorr -,$p_{T}$ Corr +,$p_{T}$ Corr -,Global +,Global -
5.25,5,5.5,0.54217,0.0042834,-0.0042834,0.069334,-0.069334,0.079321,-0.079321
5.75,5.5,6,0.5346,0.0057088,-0.0057088,0.068524,-0.068524,0.078213,-0.078213
6.25,6,6.5,0.55324,0.0077608,-0.0077608,0.071068,-0.071068,0.08094,-0.08094
6.75,6.5,7,0.55311,0.010136,-0.010136,0.071215,-0.071215,0.080921,-0.080921
7.25,7,7.5,0.5227,0.012451,-0.012451,0.067481,-0.067481,0.076472,-0.076472
7.75,7.5,8,0.55623,0.015979,-0.015979,0.072023,-0.072023,0.081377,-0.081377
8.25,8,8.5,0.54045,0.019592,-0.019592,0.06569,-0.06569,0.079068,-0.079068
8.75,8.5,9,0.54568,0.023534,-0.023534,0.066623,-0.066623,0.079834,-0.079834
9.25,9,9.5,0.54655,0.028924,-0.028924,0.067187,-0.067187,0.079962,-0.079962
9.75,9.5,10,0.6059,0.038079,-0.038079,0.076612,-0.076612,0.088645,-0.088645
11.0,10,12,0.52305,0.025272,-0.025272,0.078265,-0.078265,0.076524,-0.076524
13.0,12,14,0.56896,0.051153,-0.051153,0.11881,-0.11881,0.08324,-0.08324
15.0,14,16,0.43622,0.2481,-0.2481,0.12182,-0.12182,0.063819,-0.063819
17.0,16,18,0.62795,0.19945,-0.19945,0.22412,-0.22412,0.09187,-0.09187
19.0,18,20,0.96547,0.47647,-0.47647,0.42141,-0.42141,0.14125,-0.14125

#: $p_T$,,,$50-60\%$ centrality
