#: table_doi: 10.17182/hepdata.59944.v1/t22
#: name: Table 22
#: description: Nuclear Modification Factor RAA in the centrality interval 50-60%.

#: data_file: Table22.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: RAA
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: RE,,,PB PB --> CHARGED X
#: ETARAP,,,-0.8-0.8
#: CENTRALITY [pct],,,50.0-60.0
#: SQRT(S)/NUCLEON [GeV],,,2760.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -,"sys,normaliztion uncertainty +","sys,normaliztion uncertainty -"
0.175,0.15,0.2,0.4015,0.001,-0.001,0.059,-0.059,7.25%,-7.25%
0.225,0.2,0.25,0.3982,0.0006,-0.0006,0.0505,-0.0505,7.25%,-7.25%
0.275,0.25,0.3,0.4029,0.0006,-0.0006,0.0495,-0.0495,7.25%,-7.25%
0.325,0.3,0.35,0.4118,0.0006,-0.0006,0.0485,-0.0485,7.25%,-7.25%
0.375,0.35,0.4,0.422,0.0006,-0.0006,0.0499,-0.0499,7.25%,-7.25%
0.425,0.4,0.45,0.4329,0.0007,-0.0007,0.0523,-0.0523,7.25%,-7.25%
0.475,0.45,0.5,0.4458,0.0007,-0.0007,0.0534,-0.0534,7.25%,-7.25%
0.525,0.5,0.55,0.4588,0.0008,-0.0008,0.0542,-0.0542,7.25%,-7.25%
0.575,0.55,0.6,0.4714,0.0008,-0.0008,0.055,-0.055,7.25%,-7.25%
0.625,0.6,0.65,0.4867,0.0009,-0.0009,0.0554,-0.0554,7.25%,-7.25%
0.675,0.65,0.7,0.5014,0.001,-0.001,0.057,-0.057,7.25%,-7.25%
0.725,0.7,0.75,0.514,0.0011,-0.0011,0.0583,-0.0583,7.25%,-7.25%
0.775,0.75,0.8,0.5259,0.0013,-0.0013,0.0595,-0.0595,7.25%,-7.25%
0.825,0.8,0.85,0.5414,0.0014,-0.0014,0.0612,-0.0612,7.25%,-7.25%
0.875,0.85,0.9,0.5544,0.0016,-0.0016,0.0626,-0.0626,7.25%,-7.25%
0.925,0.9,0.95,0.5651,0.0017,-0.0017,0.0638,-0.0638,7.25%,-7.25%
0.975,0.95,1.0,0.5774,0.0019,-0.0019,0.0651,-0.0651,7.25%,-7.25%
1.05,1.0,1.1,0.5877,0.0014,-0.0014,0.0662,-0.0662,7.25%,-7.25%
1.15,1.1,1.2,0.6068,0.0017,-0.0017,0.0686,-0.0686,7.25%,-7.25%
1.25,1.2,1.3,0.6205,0.0016,-0.0016,0.0704,-0.0704,7.25%,-7.25%
1.35,1.3,1.4,0.6299,0.0016,-0.0016,0.0715,-0.0715,7.25%,-7.25%
1.45,1.4,1.5,0.6372,0.002,-0.002,0.0724,-0.0724,7.25%,-7.25%
1.55,1.5,1.6,0.6436,0.0021,-0.0021,0.0743,-0.0743,7.25%,-7.25%
1.65,1.6,1.7,0.6492,0.0025,-0.0025,0.0748,-0.0748,7.25%,-7.25%
1.75,1.7,1.8,0.6541,0.0026,-0.0026,0.0754,-0.0754,7.25%,-7.25%
1.85,1.8,1.9,0.6656,0.0031,-0.0031,0.0766,-0.0766,7.25%,-7.25%
1.95,1.9,2.0,0.666,0.0032,-0.0032,0.0766,-0.0766,7.25%,-7.25%
2.1,2.0,2.2,0.6523,0.0023,-0.0023,0.0747,-0.0747,7.25%,-7.25%
2.3,2.2,2.4,0.6422,0.0024,-0.0024,0.0734,-0.0734,7.25%,-7.25%
2.5,2.4,2.6,0.6426,0.0028,-0.0028,0.0733,-0.0733,7.25%,-7.25%
2.7,2.6,2.8,0.6286,0.0028,-0.0028,0.0716,-0.0716,7.25%,-7.25%
2.9,2.8,3.0,0.6121,0.0039,-0.0039,0.0696,-0.0696,7.25%,-7.25%
3.1,3.0,3.2,0.5938,0.004,-0.004,0.0673,-0.0673,7.25%,-7.25%
