#: table_doi: 10.17182/hepdata.86210.v1/t7
#: name: Table 7
#: description: Additional systematic error for PBPB 0-5 pct data: +2.2 pct -2.2 pct
Additional systematic error for PBPB 5-10 pct data: +2.2 pct -2.2 pct
Additional systematic error for PBPB 10-20 pct data: +2.4 pct -2.4 pct
Additional systematic error for PBPB 20-30 pct data: +2.7 pct -2.7 pct
Additional systematic error for PBPB 30-40 pct data: +3.4 pct -3.4 pct
Additional systematic error for PBPB 40-50 pct data: +3.7 pct -3.7 pct
Additional systematic error for PBPB 50-60 pct data: +4.9 pct -4.9 pct
Additional systematic error for PBPB 60-70 pct data: +6.7 pct -6.7 pct
Additional systematic error for PBPB 70-80 pct data: +7.1 pct -7.1 pct.

#: data_file: Fig6_PbPb_2760GeV.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: RAA
#: keyword cmenergies: 2760
#: CENT,,,0-5 pct
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X,,,,
#: SQRT(S)/NUCLEON,,,2760.0 GeV
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -
0.175,0.15,0.2,0.19361,9.5168e-05,-9.5168e-05,0.015516,-0.015516
0.225,0.2,0.25,0.201492,6.3926e-05,-6.3926e-05,0.011618,-0.011618
0.275,0.25,0.3,0.209745,6.2027e-05,-6.2027e-05,0.011006,-0.011006
0.32499999999999996,0.3,0.35,0.218153,6.3896e-05,-6.3896e-05,0.010779,-0.010779
0.375,0.35,0.4,0.228231,6.8301e-05,-6.8301e-05,0.010922,-0.010922
0.42500000000000004,0.4,0.45,0.238846,7.4148e-05,-7.4148e-05,0.010833,-0.010833
0.475,0.45,0.5,0.250067,8.3077e-05,-8.3077e-05,0.01115,-0.01115
0.525,0.5,0.55,0.261429,9.4586e-05,-9.4586e-05,0.011404,-0.011404
0.575,0.55,0.6,0.273166,0.00010709,-0.00010709,0.011898,-0.011898
0.625,0.6,0.65,0.285506,0.00012177,-0.00012177,0.011905,-0.011905
0.675,0.65,0.7,0.296752,0.00013815,-0.00013815,0.01206,-0.01206
0.725,0.7,0.75,0.308621,0.00015544,-0.00015544,0.012983,-0.012983
0.775,0.75,0.8,0.319408,0.00017395,-0.00017395,0.013383,-0.013383
0.825,0.8,0.85,0.329913,0.00019407,-0.00019407,0.013868,-0.013868
0.875,0.85,0.9,0.340154,0.00021591,-0.00021591,0.015059,-0.015059
0.925,0.9,0.95,0.349944,0.00023933,-0.00023933,0.016583,-0.016583
0.975,0.95,1.0,0.359479,0.00026142,-0.00026142,0.015821,-0.015821
1.05,1.0,1.1,0.37253,0.00020855,-0.00020855,0.016593,-0.016593
1.15,1.1,1.2,0.387679,0.00024152,-0.00024152,0.017515,-0.017515
1.2999999999999998,1.2,1.4,0.406394,0.0001993,-0.0001993,0.019525,-0.019525
1.5,1.4,1.6,0.425843,0.00025577,-0.00025577,0.020894,-0.020894
1.7000000000000002,1.6,1.8,0.437978,0.0003194,-0.0003194,0.021646,-0.021646
1.9,1.8,2.0,0.443345,0.00039087,-0.00039087,0.022312,-0.022312
2.1,2.0,2.2,0.441285,0.00048247,-0.00048247,0.023108,-0.023108
2.3,2.2,2.4,0.431373,0.00056238,-0.00056238,0.022057,-0.022057
2.5,2.4,2.6,0.414283,0.00064002,-0.00064002,0.020309,-0.020309
2.7,2.6,2.8,0.395172,0.00072053,-0.00072053,0.019218,-0.019218
2.9,2.8,3.0,0.368199,0.00078475,-0.00078475,0.017565,-0.017565
3.1,3.0,3.2,0.34551,0.00086412,-0.00086412,0.017465,-0.017465
3.4000000000000004,3.2,3.6,0.308503,0.00065925,-0.00065925,0.015318,-0.015318
3.8,3.6,4.0,0.259249,0.00073451,-0.00073451,0.013504,-0.013504
4.5,4.0,5.0,0.204984,0.00056097,-0.00056097,0.010273,-0.010273
5.5,5.0,6.0,0.154789,0.00074358,-0.00074358,0.0070345,-0.0070345
7.0,6.0,8.0,0.139264,0.00086772,-0.00086772,0.0064056,-0.0064056
9.0,8.0,10.0,0.152845,0.0018947,-0.0018947,0.0065438,-0.0065438
11.5,10.0,13.0,0.17322,0.0032611,-0.0032611,0.0072929,-0.0072929
16.5,13.0,20.0,0.226673,0.0066975,-0.0066975,0.010704,-0.010704
25.0,20.0,30.0,0.299015,0.022156,-0.022156,0.013633,-0.013633
40.0,30.0,50.0,0.446687,0.084543,-0.084543,0.025132,-0.025132

#: CENT,,,5-10 pct
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X,,,,
#: SQRT(S)/NUCLEON,,,2760.0 GeV
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -
0.175,0.15,0.2,0.202525,0.00010527,-0.00010527,0.015862,-0.015862
0.225,0.2,0.25,0.207872,6.92e-05,-6.92e-05,0.011555,-0.011555
0.275,0.25,0.3,0.215538,6.6514e-05,-6.6514e-05,0.010826,-0.010826
0.32499999999999996,0.3,0.35,0.224261,6.8321e-05,-6.8321e-05,0.010627,-0.010627
0.375,0.35,0.4,0.234692,7.2933e-05,-7.2933e-05,0.010882,-0.010882
0.42500000000000004,0.4,0.45,0.245601,7.9017e-05,-7.9017e-05,0.010868,-0.010868
0.475,0.45,0.5,0.257102,8.8335e-05,-8.8335e-05,0.011279,-0.011279
0.525,0.5,0.55,0.268989,0.00010049,-0.00010049,0.01153,-0.01153
0.575,0.55,0.6,0.281305,0.00011369,-0.00011369,0.01207,-0.01207
0.625,0.6,0.65,0.29385,0.00012915,-0.00012915,0.012116,-0.012116
0.675,0.65,0.7,0.305516,0.00014646,-0.00014646,0.012328,-0.012328
0.725,0.7,0.75,0.317817,0.00016468,-0.00016468,0.013347,-0.013347
0.775,0.75,0.8,0.329115,0.00018424,-0.00018424,0.013826,-0.013826
0.825,0.8,0.85,0.340056,0.00020551,-0.00020551,0.014333,-0.014333
0.875,0.85,0.9,0.350556,0.00022858,-0.00022858,0.015624,-0.015624
0.925,0.9,0.95,0.360579,0.00025342,-0.00025342,0.017182,-0.017182
0.975,0.95,1.0,0.370647,0.00027714,-0.00027714,0.01646,-0.01646
1.05,1.0,1.1,0.384654,0.00022124,-0.00022124,0.017336,-0.017336
1.15,1.1,1.2,0.400586,0.00025643,-0.00025643,0.018349,-0.018349
1.2999999999999998,1.2,1.4,0.42075,0.00021041,-0.00021041,0.020567,-0.020567
1.5,1.4,1.6,0.441822,0.00027037,-0.00027037,0.021921,-0.021921
1.7000000000000002,1.6,1.8,0.455293,0.00033767,-0.00033767,0.022908,-0.022908
1.9,1.8,2.0,0.461712,0.00041398,-0.00041398,0.023464,-0.023464
2.1,2.0,2.2,0.460292,0.00051397,-0.00051397,0.024317,-0.024317
2.3,2.2,2.4,0.451053,0.00059934,-0.00059934,0.023223,-0.023223
2.5,2.4,2.6,0.432901,0.00068168,-0.00068168,0.021101,-0.021101
2.7,2.6,2.8,0.417124,0.00077365,-0.00077365,0.01994,-0.01994
2.9,2.8,3.0,0.392159,0.00085058,-0.00085058,0.01927,-0.01927
3.1,3.0,3.2,0.368667,0.00093639,-0.00093639,0.018372,-0.018372
3.4000000000000004,3.2,3.6,0.334042,0.00072389,-0.00072389,0.01632,-0.01632
3.8,3.6,4.0,0.285883,0.00082137,-0.00082137,0.014746,-0.014746
4.5,4.0,5.0,0.230855,0.00064049,-0.00064049,0.011463,-0.011463
5.5,5.0,6.0,0.180995,0.00087999,-0.00087999,0.0082744,-0.0082744
7.0,6.0,8.0,0.163474,0.0010302,-0.0010302,0.0075307,-0.0075307
9.0,8.0,10.0,0.17647,0.0022159,-0.0022159,0.0076192,-0.0076192
11.5,10.0,13.0,0.19844,0.0037803,-0.0037803,0.0084521,-0.0084521
16.5,13.0,20.0,0.252095,0.0075412,-0.0075412,0.012015,-0.012015
25.0,20.0,30.0,0.33125,0.024843,-0.024843,0.015254,-0.015254
40.0,30.0,50.0,0.524159,0.099594,-0.099594,0.029709,-0.029709

#: CENT,,,10-20 pct
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X,,,,
#: SQRT(S)/NUCLEON,,,2760.0 GeV
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -
0.175,0.15,0.2,0.217176,0.00010287,-0.00010287,0.016636,-0.016636
0.225,0.2,0.25,0.220335,6.7727e-05,-6.7727e-05,0.011856,-0.011856
0.275,0.25,0.3,0.227645,6.5559e-05,-6.5559e-05,0.011077,-0.011077
0.32499999999999996,0.3,0.35,0.236703,6.7666e-05,-6.7666e-05,0.011043,-0.011043
0.375,0.35,0.4,0.247527,7.2385e-05,-7.2385e-05,0.011471,-0.011471
0.42500000000000004,0.4,0.45,0.258868,7.865e-05,-7.865e-05,0.011575,-0.011575
0.475,0.45,0.5,0.270605,8.8129e-05,-8.8129e-05,0.01202,-0.01202
0.525,0.5,0.55,0.283247,0.00010057,-0.00010057,0.012273,-0.012273
0.575,0.55,0.6,0.295859,0.00011394,-0.00011394,0.012795,-0.012795
0.625,0.6,0.65,0.309267,0.00012971,-0.00012971,0.012853,-0.012853
0.675,0.65,0.7,0.321468,0.00014731,-0.00014731,0.013051,-0.013051
0.725,0.7,0.75,0.334179,0.0001658,-0.0001658,0.014099,-0.014099
0.775,0.75,0.8,0.345797,0.0001856,-0.0001856,0.01457,-0.01457
0.825,0.8,0.85,0.357257,0.00020723,-0.00020723,0.01514,-0.01514
0.875,0.85,0.9,0.36853,0.00023055,-0.00023055,0.016491,-0.016491
0.925,0.9,0.95,0.378626,0.00025552,-0.00025552,0.018121,-0.018121
0.975,0.95,1.0,0.389595,0.00027954,-0.00027954,0.017398,-0.017398
1.05,1.0,1.1,0.404304,0.0002232,-0.0002232,0.018313,-0.018313
1.15,1.1,1.2,0.421157,0.00025882,-0.00025882,0.019398,-0.019398
1.2999999999999998,1.2,1.4,0.442637,0.00021462,-0.00021462,0.021613,-0.021613
1.5,1.4,1.6,0.464833,0.00027622,-0.00027622,0.023057,-0.023057
1.7000000000000002,1.6,1.8,0.479536,0.00034594,-0.00034594,0.024054,-0.024054
1.9,1.8,2.0,0.48688,0.00042488,-0.00042488,0.024799,-0.024799
2.1,2.0,2.2,0.487206,0.00052726,-0.00052726,0.025634,-0.025634
2.3,2.2,2.4,0.478482,0.00061715,-0.00061715,0.024465,-0.024465
2.5,2.4,2.6,0.463834,0.00070831,-0.00070831,0.022399,-0.022399
2.7,2.6,2.8,0.446659,0.00080471,-0.00080471,0.021203,-0.021203
2.9,2.8,3.0,0.422759,0.00088961,-0.00088961,0.020521,-0.020521
3.1,3.0,3.2,0.402238,0.00099109,-0.00099109,0.019878,-0.019878
