#: table_doi: 10.17182/hepdata.67531.v2/t33
#: name: Table 33
#: description: Raa in different centrality intervals.
#: data_file: Table33.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: RAA
#: keyword phrases: Inclusive | Transverse Momentum Dependence
#: keyword cmenergies: 2760.0
#: ABS(ETA),,,0.0-2.0
#: CENTRALITY [pct],,,0-5
#: RE,,,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
PT [GeV],PT [GeV] LOW,PT [GeV] HIGH,RAA,stat +,stat -,sys +,sys -
0.5365,0.5,0.573,0.272,0.02%,-0.02%,5.2%,-5.2%
0.615,0.573,0.657,0.288,0.021%,-0.021%,5.0%,-5.0%
0.7050000000000001,0.657,0.753,0.31,0.022%,-0.022%,4.8%,-4.8%
0.808,0.753,0.863,0.334,0.024%,-0.024%,4.8%,-4.8%
0.9259999999999999,0.863,0.989,0.361,0.026%,-0.026%,4.8%,-4.8%
1.0594999999999999,0.989,1.13,0.386,0.029%,-0.029%,4.8%,-4.8%
1.21,1.13,1.29,0.41,0.032%,-0.032%,4.8%,-4.8%
1.385,1.29,1.48,0.432,0.037%,-0.037%,4.7%,-4.7%
1.5899999999999999,1.48,1.7,0.45,0.042%,-0.042%,4.7%,-4.7%
1.825,1.7,1.95,0.449,0.051%,-0.051%,4.6%,-4.6%
2.095,1.95,2.24,0.448,0.061%,-0.061%,4.6%,-4.6%
2.4050000000000002,2.24,2.57,0.425,0.076%,-0.076%,4.6%,-4.6%
2.755,2.57,2.94,0.385,0.096%,-0.096%,4.6%,-4.6%
3.1550000000000002,2.94,3.37,0.334,0.12%,-0.12%,4.6%,-4.6%
3.62,3.37,3.87,0.276,0.16%,-0.16%,4.6%,-4.6%
4.15,3.87,4.43,0.221,0.21%,-0.21%,4.5%,-4.5%
4.755,4.43,5.08,0.18,0.28%,-0.28%,4.6%,-4.6%
5.455,5.08,5.83,0.155,0.38%,-0.38%,4.5%,-4.5%
6.255,5.83,6.68,0.143,0.53%,-0.53%,4.5%,-4.5%
7.17,6.68,7.66,0.144,0.63%,-0.63%,4.5%,-4.5%
8.219999999999999,7.66,8.78,0.152,0.85%,-0.85%,4.4%,-4.4%
9.39,8.78,10.0,0.163,1.1%,-1.1%,4.3%,-4.3%
10.75,10.0,11.5,0.181,0.97%,-0.97%,4.3%,-4.3%
12.35,11.5,13.2,0.202,1.1%,-1.1%,4.3%,-4.3%
14.149999999999999,13.2,15.1,0.226,1.2%,-1.2%,4.2%,-4.2%
16.2,15.1,17.3,0.251,1.2%,-1.2%,4.2%,-4.2%
18.6,17.3,19.9,0.279,1.4%,-1.4%,4.2%,-4.2%
21.35,19.9,22.8,0.313,1.8%,-1.8%,4.3%,-4.3%
24.450000000000003,22.8,26.1,0.342,1.9%,-1.9%,4.6%,-4.6%
28.05,26.1,30.0,0.347,1.8%,-1.8%,4.6%,-4.6%
33.85,30.0,37.7,0.415,1.5%,-1.5%,4.9%,-4.9%
42.6,37.7,47.5,0.475,1.6%,-1.6%,5.5%,-5.5%
53.65,47.5,59.8,0.527,1.6%,-1.6%,7.0%,-7.0%
67.55,59.8,75.3,0.542,2.3%,-2.3%,7.7%,-7.7%
85.05,75.3,94.8,0.563,3.9%,-3.9%,8.5%,-8.5%
106.9,94.8,119.0,0.57,6.8%,-6.8%,9.6%,-9.6%
134.5,119.0,150.0,0.56,12.3%,-12.3%,11.1%,-11.1%

