#: table_doi: 10.17182/hepdata.67531.v2/t36
#: name: Table 36
#: description: Raa in different centrality intervals (not shown in Fig. 13).
#: data_file: Table36.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: RAA
#: keyword phrases: Inclusive | Transverse Momentum Dependence
#: keyword cmenergies: 2760.0
#: ABS(ETA),,,0.0-2.0
#: CENTRALITY [pct],,,20-30
#: RE,,,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
PT [GeV],PT [GeV] LOW,PT [GeV] HIGH,RAA,stat +,stat -,sys +,sys -
0.5365,0.5,0.573,0.329,0.02%,-0.02%,4.7%,-4.7%
0.615,0.573,0.657,0.349,0.021%,-0.021%,4.7%,-4.7%
0.7050000000000001,0.657,0.753,0.374,0.022%,-0.022%,4.8%,-4.8%
0.808,0.753,0.863,0.402,0.024%,-0.024%,4.8%,-4.8%
0.9259999999999999,0.863,0.989,0.432,0.026%,-0.026%,4.9%,-4.9%
1.0594999999999999,0.989,1.13,0.463,0.029%,-0.029%,4.9%,-4.9%
1.21,1.13,1.29,0.492,0.032%,-0.032%,5.0%,-5.0%
1.385,1.29,1.48,0.519,0.037%,-0.037%,5.0%,-5.0%
1.5899999999999999,1.48,1.7,0.542,0.043%,-0.043%,5.1%,-5.1%
1.825,1.7,1.95,0.546,0.051%,-0.051%,5.1%,-5.1%
2.095,1.95,2.24,0.548,0.061%,-0.061%,5.1%,-5.1%
2.4050000000000002,2.24,2.57,0.529,0.076%,-0.076%,5.1%,-5.1%
2.755,2.57,2.94,0.495,0.096%,-0.096%,5.1%,-5.1%
3.1550000000000002,2.94,3.37,0.448,0.12%,-0.12%,5.1%,-5.1%
3.62,3.37,3.87,0.394,0.16%,-0.16%,5.1%,-5.1%
4.15,3.87,4.43,0.34,0.21%,-0.21%,5.1%,-5.1%
4.755,4.43,5.08,0.301,0.28%,-0.28%,5.1%,-5.1%
5.455,5.08,5.83,0.274,0.38%,-0.38%,5.0%,-5.0%
6.255,5.83,6.68,0.263,0.53%,-0.53%,5.1%,-5.1%
7.17,6.68,7.66,0.267,0.63%,-0.63%,5.0%,-5.0%
8.219999999999999,7.66,8.78,0.276,0.85%,-0.85%,5.0%,-5.0%
9.39,8.78,10.0,0.291,1.1%,-1.1%,4.9%,-4.9%
10.75,10.0,11.5,0.317,0.97%,-0.97%,4.9%,-4.9%
12.35,11.5,13.2,0.349,1.1%,-1.1%,4.9%,-4.9%
14.149999999999999,13.2,15.1,0.377,1.2%,-1.2%,4.8%,-4.8%
16.2,15.1,17.3,0.406,1.2%,-1.2%,4.9%,-4.9%
18.6,17.3,19.9,0.442,1.4%,-1.4%,4.9%,-4.9%
21.35,19.9,22.8,0.475,1.8%,-1.8%,4.9%,-4.9%
24.450000000000003,22.8,26.1,0.501,2.0%,-2.0%,5.1%,-5.1%
28.05,26.1,30.0,0.53,1.8%,-1.8%,4.9%,-4.9%
33.85,30.0,37.7,0.577,1.4%,-1.4%,4.9%,-4.9%
42.6,37.7,47.5,0.618,1.6%,-1.6%,5.0%,-5.0%
53.65,47.5,59.8,0.689,1.7%,-1.7%,6.3%,-6.3%
67.55,59.8,75.3,0.7,2.5%,-2.5%,6.7%,-6.7%
85.05,75.3,94.8,0.723,4.1%,-4.1%,7.5%,-7.5%
106.9,94.8,119.0,0.787,7.3%,-7.3%,7.9%,-7.9%

