#: table_doi: 10.17182/hepdata.58980.v1/t6
#: name: Table 6
#: description: Nuclear modification factor RAA in the centrality  regions 30 TO 50%, 50 TO 70% and 70 TO 90%.

#: data_file: Table6.yaml
#: keyword reactions: P P --> CHARGED X
#: keyword observables: RAA
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 2760.0
#: ABS(ETARAP),,,< 1.0
#: CENTRALITY [pct],,,30.0-50.0
#: RE,,,P P --> CHARGED X
#: SQRT(S) [GeV],,,2760.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -
1.05,1.0,1.1,0.4708,0.0004,-0.0004,0.0334,-0.0334
1.15,1.1,1.2,0.484,0.0005,-0.0005,0.0344,-0.0344
1.2999999999999998,1.2,1.4,0.507,0.0004,-0.0004,0.036,-0.036
1.5,1.4,1.6,0.5257,0.0005,-0.0005,0.0373,-0.0373
1.7000000000000002,1.6,1.8,0.5391,0.0007,-0.0007,0.0383,-0.0383
1.9,1.8,2.0,0.544,0.0008,-0.0008,0.0386,-0.0386
2.1,2.0,2.2,0.5473,0.001,-0.001,0.0389,-0.0389
2.3,2.2,2.4,0.5421,0.0011,-0.0011,0.0385,-0.0385
2.8,2.4,3.2,0.5169,0.0008,-0.0008,0.0367,-0.0367
3.6,3.2,4.0,0.4355,0.0011,-0.0011,0.031,-0.031
4.4,4.0,4.8,0.3766,0.0016,-0.0016,0.0268,-0.0268
5.199999999999999,4.8,5.6,0.3447,0.0022,-0.0022,0.0245,-0.0245
6.0,5.6,6.4,0.3413,0.0031,-0.0031,0.0243,-0.0243
6.800000000000001,6.4,7.2,0.3468,0.0043,-0.0043,0.0247,-0.0247
8.4,7.2,9.6,0.3613,0.0041,-0.0041,0.0258,-0.0258
10.8,9.6,12.0,0.4165,0.0088,-0.0088,0.03,-0.03
13.2,12.0,14.4,0.4619,0.0162,-0.0162,0.0334,-0.0334
16.8,14.4,19.2,0.5451,0.0225,-0.0225,0.0404,-0.0404
21.6,19.2,24.0,0.629,0.0454,-0.0454,0.0481,-0.0481
26.4,24.0,28.8,0.6017,0.0647,-0.0647,0.0476,-0.0476
32.0,28.8,35.2,0.7022,0.0908,-0.0908,0.0576,-0.0576
38.400000000000006,35.2,41.6,0.752,0.11,-0.11,0.069,-0.069
44.8,41.6,48.0,0.872,0.175,-0.175,0.089,-0.089
54.4,48.0,60.8,1.118,0.216,-0.216,0.119,-0.119
67.19999999999999,60.8,73.6,0.899,0.072,-0.072,0.101,-0.101
80.0,73.6,86.4,1.66,1.01,-1.01,0.19,-0.19
95.0,86.4,103.6,0.75,0.13,-0.13,0.086,-0.086

#: ABS(ETARAP),,,< 1.0
#: CENTRALITY [pct],,,50.0-70.0
#: RE,,,P P --> CHARGED X
#: SQRT(S) [GeV],,,2760.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -
1.05,1.0,1.1,0.5568,0.0008,-0.0008,0.0395,-0.0395
1.15,1.1,1.2,0.5675,0.0009,-0.0009,0.0403,-0.0403
1.2999999999999998,1.2,1.4,0.5843,0.0008,-0.0008,0.0415,-0.0415
1.5,1.4,1.6,0.6004,0.001,-0.001,0.0426,-0.0426
1.7000000000000002,1.6,1.8,0.6076,0.0012,-0.0012,0.0431,-0.0431
1.9,1.8,2.0,0.6139,0.0015,-0.0015,0.0436,-0.0436
2.1,2.0,2.2,0.6167,0.0017,-0.0017,0.0438,-0.0438
2.3,2.2,2.4,0.6176,0.002,-0.002,0.0439,-0.0439
2.8,2.4,3.2,0.6088,0.0014,-0.0014,0.0433,-0.0433
3.6,3.2,4.0,0.5544,0.002,-0.002,0.0394,-0.0394
4.4,4.0,4.8,0.5236,0.0029,-0.0029,0.0372,-0.0372
5.199999999999999,4.8,5.6,0.5099,0.0043,-0.0043,0.0363,-0.0363
6.0,5.6,6.4,0.5152,0.0061,-0.0061,0.0367,-0.0367
6.800000000000001,6.4,7.2,0.5115,0.0083,-0.0083,0.0365,-0.0365
8.4,7.2,9.6,0.5412,0.0081,-0.0081,0.0387,-0.0387
10.8,9.6,12.0,0.5832,0.0165,-0.0165,0.042,-0.042
13.2,12.0,14.4,0.6419,0.0302,-0.0302,0.0465,-0.0465
16.8,14.4,19.2,0.6805,0.0396,-0.0396,0.0504,-0.0504
21.6,19.2,24.0,0.7546,0.0798,-0.0798,0.0577,-0.0577
26.4,24.0,28.8,0.59,0.103,-0.103,0.047,-0.047
32.0,28.8,35.2,0.908,0.184,-0.184,0.075,-0.075
38.400000000000006,35.2,41.6,0.636,0.179,-0.179,0.058,-0.058
44.8,41.6,48.0,2.11,0.738,-0.738,0.215,-0.215
54.4,48.0,60.8,0.7416,0.0425,-0.0425,0.0789,-0.0789
67.19999999999999,60.8,73.6,0.984,0.097,-0.097,0.111,-0.111
80.0,73.6,86.4,0.698,0.112,-0.112,0.079,-0.079
95.0,86.4,103.6,0.86,0.193,-0.193,0.098,-0.098

#: ABS(ETARAP),,,< 1.0
#: CENTRALITY [pct],,,70.0-90.0
#: RE,,,P P --> CHARGED X
#: SQRT(S) [GeV],,,2760.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -
1.05,1.0,1.1,0.6053,0.0017,-0.0017,0.043,-0.043
1.15,1.1,1.2,0.6102,0.0019,-0.0019,0.0433,-0.0433
1.2999999999999998,1.2,1.4,0.6154,0.0015,-0.0015,0.0437,-0.0437
1.5,1.4,1.6,0.625,0.0018,-0.0018,0.0444,-0.0444
1.7000000000000002,1.6,1.8,0.6297,0.0021,-0.0021,0.0447,-0.0447
1.9,1.8,2.0,0.6341,0.0025,-0.0025,0.045,-0.045
2.1,2.0,2.2,0.6406,0.0029,-0.0029,0.0455,-0.0455
2.3,2.2,2.4,0.6456,0.0033,-0.0033,0.0459,-0.0459
2.8,2.4,3.2,0.6492,0.0023,-0.0023,0.0461,-0.0461
3.6,3.2,4.0,0.639,0.0038,-0.0038,0.0454,-0.0454
4.4,4.0,4.8,0.6256,0.006,-0.006,0.0445,-0.0445
5.199999999999999,4.8,5.6,0.6057,0.0089,-0.0089,0.0431,-0.0431
6.0,5.6,6.4,0.6107,0.013,-0.013,0.0435,-0.0435
6.800000000000001,6.4,7.2,0.6185,0.0183,-0.0183,0.0441,-0.0441
8.4,7.2,9.6,0.6418,0.0181,-0.0181,0.0459,-0.0459
10.8,9.6,12.0,0.6522,0.0363,-0.0363,0.0469,-0.0469
13.2,12.0,14.4,0.756,0.0686,-0.0686,0.0547,-0.0547
