#: table_doi: 10.17182/hepdata.86210.v1/t8
#: name: Table 8
#: description: Additional systematic error for PBPB 0-5 pct data: +2.7 pct -2.7 pct
Additional systematic error for PBPB 5-10 pct data: +3.5 pct -3.5 pct
Additional systematic error for PBPB 10-20 pct data: +3.5 pct -3.5 pct
Additional systematic error for PBPB 20-30 pct data: +4.1 pct -4.1 pct
Additional systematic error for PBPB 30-40 pct data: +3.7 pct -3.7 pct
Additional systematic error for PBPB 40-50 pct data: +3.9 pct -3.9 pct
Additional systematic error for PBPB 50-60 pct data: +3.6 pct -3.6 pct
Additional systematic error for PBPB 60-70 pct data: +4.6 pct -4.6 pct
Additional systematic error for PBPB 70-80 pct data: +5.9 pct -5.9 pct.

#: data_file: Fig6_PbPb_5020GeV.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: RAA
#: keyword cmenergies: 5020
#: CENT,,,0-5 pct
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X,,,,
#: SQRT(S)/NUCLEON,,,5020.0 GeV
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -
0.175,0.15,0.2,0.188494,6.4706e-05,-6.4706e-05,0.011879,-0.011879
0.225,0.2,0.25,0.19801,4.2182e-05,-4.2182e-05,0.0094435,-0.0094435
0.275,0.25,0.3,0.207792,4.0361e-05,-4.0361e-05,0.0086348,-0.0086348
0.32499999999999996,0.3,0.35,0.219327,4.1341e-05,-4.1341e-05,0.0067666,-0.0067666
0.375,0.35,0.4,0.231176,4.3767e-05,-4.3767e-05,0.0058425,-0.0058425
0.42500000000000004,0.4,0.45,0.243387,4.7196e-05,-4.7196e-05,0.0058837,-0.0058837
0.475,0.45,0.5,0.255471,5.2508e-05,-5.2508e-05,0.0061665,-0.0061665
0.525,0.5,0.55,0.267528,5.9421e-05,-5.9421e-05,0.0063514,-0.0063514
0.575,0.55,0.6,0.279677,6.6739e-05,-6.6739e-05,0.0062022,-0.0062022
0.625,0.6,0.65,0.291486,7.5142e-05,-7.5142e-05,0.0064125,-0.0064125
0.675,0.65,0.7,0.302886,8.4738e-05,-8.4738e-05,0.006397,-0.006397
0.725,0.7,0.75,0.314375,9.4574e-05,-9.4574e-05,0.0064142,-0.0064142
