#: table_doi: 10.17182/hepdata.77101.v2/t15
#: name: Table 15
#: description: PbPb nuclear modification factor measured in 0-100% PbPb centrality class.
#: data_file: data15.yaml
#: data_license:   
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: RAA
#: keyword phrases: 
#: keyword energies: 5020.0
#: RE,,,PB PB --> CHARGED X
#: TRACK ETA,,,-1.0 TO 1.0
#: SQRT(S)/NUCLEON [GEV],,,5020.0
#: CENTRALITY,,,0-100%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,Nuclear Modification Factor,stat +,stat -,sys +,sys -,"sys,TAA +","sys,TAA -","sys,lumi +","sys,lumi -"
0.75,0.7,0.8,0.360505,1.4e-05,-1.4e-05,0.028235,-0.028235,0.010094,-0.012257,0.008291,-0.008291
0.85,0.8,0.9,0.385058,1.6e-05,-1.6e-05,0.030336,-0.030336,0.010781,-0.013092,0.008856,-0.008856
0.95,0.9,1.0,0.41884,1.9e-05,-1.9e-05,0.033154,-0.033154,0.011727,-0.01424,0.009633,-0.009633
1.05,1.0,1.1,0.441132,2.2e-05,-2.2e-05,0.037549,-0.037549,0.012351,-0.014998,0.010146,-0.010146
1.15,1.1,1.2,0.456488,2.6e-05,-2.6e-05,0.038646,-0.038646,0.012781,-0.01552,0.010499,-0.010499
1.3,1.2,1.4,0.479867,2.3e-05,-2.3e-05,0.046168,-0.046168,0.013436,-0.016315,0.011036,-0.011036
1.5,1.4,1.6,0.498543,2.9e-05,-2.9e-05,0.051398,-0.051398,0.013959,-0.01695,0.011466,-0.011466
1.7,1.6,1.8,0.516094,3.7e-05,-3.7e-05,0.061535,-0.061535,0.01445,-0.017547,0.01187,-0.01187
1.9,1.8,2.0,0.516076,4.5e-05,-4.5e-05,0.061521,-0.061521,0.01445,-0.017546,0.011869,-0.011869
2.1,2.0,2.2,0.515759,5.3e-05,-5.3e-05,0.06991,-0.06991,0.014441,-0.017535,0.011862,-0.011862
2.3,2.2,2.4,0.509035,6.3e-05,-6.3e-05,0.068997,-0.068997,0.014253,-0.017307,0.011707,-0.011707
2.8,2.4,3.2,0.471822,4.2e-05,-4.2e-05,0.071398,-0.071398,0.013211,-0.016042,0.010851,-0.010851
3.6,3.2,4.0,0.381288,6.2e-05,-6.2e-05,0.061824,-0.061824,0.010676,-0.012963,0.008769,-0.008769
4.4,4.0,4.8,0.30166,8.2e-05,-8.2e-05,0.046101,-0.046101,0.008446,-0.010256,0.006938,-0.006938
5.2,4.8,5.6,0.25683,0.0001,-0.0001,0.03319,-0.03319,0.00719,-0.00873,0.0059,-0.0059
6.0,5.6,6.4,0.23623,0.00014,-0.00014,0.0271,-0.0271,0.00661,-0.00803,0.00543,-0.00543
6.8,6.4,7.2,0.23139,0.0002,-0.0002,0.0229,-0.0229,0.00647,-0.00786,0.00532,-0.00532
8.4,7.2,9.6,0.23972,0.00019,-0.00019,0.02159,-0.02159,0.00671,-0.00815,0.00551,-0.00551
10.8,9.6,12.0,0.27954,0.00043,-0.00043,0.02519,-0.02519,0.00782,-0.0095,0.00642,-0.00642
13.2,12.0,14.4,0.31097,0.00079,-0.00079,0.0312,-0.0312,0.0087,-0.01057,0.00715,-0.00715
16.8,14.4,19.2,0.359,0.0011,-0.0011,0.036,-0.036,0.01,-0.0122,0.0082,-0.0082
21.6,19.2,24.0,0.4103,0.0023,-0.0023,0.0411,-0.0411,0.0114,-0.0139,0.0094,-0.0094
26.4,24.0,28.8,0.4535,0.0039,-0.0039,0.0454,-0.0454,0.0127,-0.0154,0.0104,-0.0104
32.0,28.8,35.2,0.4871,0.0054,-0.0054,0.0488,-0.0488,0.0136,-0.0165,0.0112,-0.0112
38.4,35.2,41.6,0.539,0.0075,-0.0075,0.054,-0.054,0.015,-0.0183,0.0123,-0.0123
44.8,41.6,48.0,0.6064,0.0085,-0.0085,0.0596,-0.0596,0.0169,-0.0206,0.0139,-0.0139
54.4,48.0,60.8,0.6583,0.0064,-0.0064,0.0649,-0.0649,0.0184,-0.0223,0.0151,-0.0151
67.2,60.8,73.6,0.6914,0.0096,-0.0096,0.0685,-0.0685,0.0193,-0.0235,0.0159,-0.0159
80.0,73.6,86.4,0.751,0.009,-0.009,0.0744,-0.0744,0.021,-0.0255,0.0172,-0.0172
95.0,86.4,103.6,0.803,0.012,-0.012,0.08,-0.08,0.022,-0.027,0.019,-0.019
112.2,103.6,120.8,0.806,0.02,-0.02,0.081,-0.081,0.023,-0.027,0.019,-0.019
130.4,120.8,140.0,0.814,0.025,-0.025,0.082,-0.082,0.023,-0.028,0.019,-0.019
152.5,140.0,165.0,0.884,0.041,-0.041,0.089,-0.089,0.025,-0.03,0.02,-0.02
207.5,165.0,250.0,0.908,0.046,-0.046,0.092,-0.092,0.025,-0.031,0.021,-0.021
325.0,250.0,400.0,0.877,0.153,-0.153,0.09,-0.09,0.025,-0.03,0.02,-0.02

