#: table_doi: 10.17182/hepdata.77101.v2/t10
#: name: Table 10
#: description: PbPb nuclear modification factor measured in 10-30% PbPb centrality class.
#: data_file: data10.yaml
#: data_license:   
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: RAA
#: keyword phrases: 
#: keyword energies: 5020.0
#: RE,,,PB PB --> CHARGED X
#: TRACK ETA,,,-1.0 TO 1.0
#: SQRT(S)/NUCLEON [GEV],,,5020.0
#: CENTRALITY,,,10-30%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -,"sys,TAA +","sys,TAA -","sys,lumi +","sys,lumi -"
0.75,0.7,0.8,0.345625,1.7e-05,-1.7e-05,0.027069,-0.027069,0.009331,-0.011751,0.007949,-0.007949
0.85,0.8,0.9,0.369594,1.9e-05,-1.9e-05,0.02923,-0.02923,0.009979,-0.012566,0.0085,-0.0085
0.95,0.9,1.0,0.404274,2.2e-05,-2.2e-05,0.032123,-0.032123,0.010915,-0.013745,0.009298,-0.009298
1.05,1.0,1.1,0.425955,2.5e-05,-2.5e-05,0.036377,-0.036377,0.0115,-0.014482,0.009796,-0.009796
1.15,1.1,1.2,0.445204,2.8e-05,-2.8e-05,0.037816,-0.037816,0.01202,-0.015136,0.010239,-0.010239
1.3,1.2,1.4,0.466304,2.4e-05,-2.4e-05,0.045156,-0.045156,0.01259,-0.015854,0.010725,-0.010725
1.5,1.4,1.6,0.487476,3.2e-05,-3.2e-05,0.050542,-0.050542,0.013161,-0.016574,0.011212,-0.011212
1.7,1.6,1.8,0.507425,4e-05,-4e-05,0.061522,-0.061522,0.0137,-0.017252,0.01167,-0.01167
1.9,1.8,2.0,0.50941,4.9e-05,-4.9e-05,0.061751,-0.061751,0.013754,-0.017319,0.011716,-0.011716
2.1,2.0,2.2,0.509455,5.8e-05,-5.8e-05,0.071327,-0.071327,0.013755,-0.017321,0.011717,-0.011717
2.3,2.2,2.4,0.50034,6.8e-05,-6.8e-05,0.07005,-0.07005,0.013509,-0.017011,0.011507,-0.011507
2.8,2.4,3.2,0.465809,4.6e-05,-4.6e-05,0.073065,-0.073065,0.012576,-0.015837,0.010713,-0.010713
3.6,3.2,4.0,0.378497,7e-05,-7e-05,0.063602,-0.063602,0.010219,-0.012868,0.008705,-0.008705
4.4,4.0,4.8,0.29457,9.3e-05,-9.3e-05,0.044625,-0.044625,0.007953,-0.010015,0.006775,-0.006775
5.2,4.8,5.6,0.2453,0.00012,-0.00012,0.02913,-0.02913,0.00662,-0.00834,0.00564,-0.00564
6.0,5.6,6.4,0.22335,0.00016,-0.00016,0.02329,-0.02329,0.00603,-0.00759,0.00513,-0.00513
6.8,6.4,7.2,0.22058,0.00022,-0.00022,0.02102,-0.02102,0.00595,-0.0075,0.00507,-0.00507
8.4,7.2,9.6,0.23141,0.00022,-0.00022,0.02084,-0.02084,0.00624,-0.00786,0.00532,-0.00532
10.8,9.6,12.0,0.27334,0.00049,-0.00049,0.02463,-0.02463,0.00738,-0.00929,0.00628,-0.00628
13.2,12.0,14.4,0.29255,0.00085,-0.00085,0.02887,-0.02887,0.00789,-0.00994,0.00672,-0.00672
16.8,14.4,19.2,0.3405,0.0012,-0.0012,0.0336,-0.0336,0.0092,-0.0115,0.0078,-0.0078
21.6,19.2,24.0,0.4004,0.0025,-0.0025,0.0387,-0.0387,0.0108,-0.0136,0.0092,-0.0092
26.4,24.0,28.8,0.4515,0.0044,-0.0044,0.0436,-0.0436,0.0122,-0.0153,0.0103,-0.0103
32.0,28.8,35.2,0.4666,0.0058,-0.0058,0.0451,-0.0451,0.0126,-0.0158,0.0107,-0.0107
38.4,35.2,41.6,0.5255,0.0084,-0.0084,0.0508,-0.0508,0.0142,-0.0178,0.012,-0.012
44.8,41.6,48.0,0.598,0.01,-0.01,0.058,-0.058,0.016,-0.02,0.014,-0.014
54.4,48.0,60.8,0.6384,0.0083,-0.0083,0.062,-0.062,0.0172,-0.022,0.0147,-0.0147
67.2,60.8,73.6,0.693,0.012,-0.012,0.068,-0.068,0.019,-0.024,0.016,-0.016
80.0,73.6,86.4,0.744,0.013,-0.013,0.073,-0.073,0.02,-0.025,0.017,-0.017
95.0,86.4,103.6,0.789,0.015,-0.015,0.078,-0.078,0.021,-0.027,0.018,-0.018
112.2,103.6,120.8,0.767,0.024,-0.024,0.076,-0.076,0.021,-0.026,0.018,-0.018
130.4,120.8,140.0,0.799,0.035,-0.035,0.079,-0.079,0.022,-0.027,0.018,-0.018
152.5,140.0,165.0,0.82,0.048,-0.048,0.081,-0.081,0.022,-0.028,0.019,-0.019
207.5,165.0,250.0,0.799,0.059,-0.059,0.08,-0.08,0.022,-0.027,0.018,-0.018
325.0,250.0,400.0,1.008,0.231,-0.231,0.102,-0.102,0.027,-0.034,0.023,-0.023

